class_name,density,global_xy_error_m,gt_bbox_area_px,gt_depth_m,gt_distance_m,match_status,radar_support_points,sample_id,score
vehicle,low,1.7357807904464764,75.43294510844218,126.82589679677451,136.2545928955078,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000285_frame37497,0.3195931315422058
vehicle,low,1.6015500998496677,77.61602655050129,125.37747847180287,135.1204833984375,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000286_frame37499,0.14738991856575012
vehicle,low,2.5221896007965903,137.71843450778815,98.3677087477262,114.7763900756836,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000286_frame37499,0.47961723804473877
person,low,0.7911473164274225,12.16117883332401,107.25244660956669,125.07437133789062,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000294_frame37515,0.6387472152709961
vehicle,low,1.57129075656852,153.72194063094395,93.78335768514951,111.98925018310547,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000294_frame37515,0.6401171684265137
vehicle,low,nan,101.02415053608594,113.88368693418091,126.561767578125,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000294_frame37515,nan
vehicle,low,nan,33.23775219333297,40.36538251486618,90.57319641113281,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000294_frame37515,nan
person,low,1.2982527597274292,12.374976975079983,106.353384043412,124.05561828613281,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000297_frame37521,0.8432111144065857
vehicle,low,1.3120642188482976,153.64338819627875,93.78537792064364,111.98888397216797,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000297_frame37521,0.6149783730506897
vehicle,low,nan,112.4988133852499,109.93963196385961,123.82959747314453,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000297_frame37521,nan
vehicle,low,nan,739.4757005225036,43.86818607841247,91.60850524902344,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000297_frame37521,nan
person,low,1.4451447247661353,12.520635995510744,105.75417735101458,123.37649536132812,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000299_frame37525,0.8731691241264343
vehicle,low,1.794729135368303,153.64338819627875,93.78537792064364,111.98888397216797,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000299_frame37525,0.62607342004776
vehicle,low,nan,117.53583845463089,107.50759013238097,122.1896743774414,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000299_frame37525,nan
vehicle,low,nan,996.6816330757,46.00204860825562,92.12064361572266,fn,1.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000299_frame37525,nan
vehicle,low,1.2981825494855777,153.64338819627875,93.78537792064364,111.98888397216797,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000300_frame37527,0.6461439728736877
person,low,1.8477215561216735,12.594438591126213,105.45455530833578,123.03693389892578,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000300_frame37527,0.8399456143379211
vehicle,low,nan,119.96472750722508,106.34426032405356,121.41979217529297,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000300_frame37527,nan
vehicle,low,nan,941.8695864751335,47.00755045668832,92.3292465209961,fn,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000300_frame37527,nan
vehicle,low,0.7930578774603081,132.1895682796025,103.03344958436821,119.29657745361328,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000303_frame37533,0.24165132641792297
person,low,0.9943948764032519,12.81980165042608,104.55567911599877,122.01824951171875,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000303_frame37533,0.8752105832099915
vehicle,low,1.305982257651764,153.64338819627875,93.78537792064364,111.98888397216797,tp,0.0,parked_ego_tl16_spawn80_right7_fwd4_low_4000_stride2_000303_frame37533,0.6196708083152771
