profile_id,trace_id,trace_step_index,target_snr_db,mapped_rfsim_command_db,scheduled_monotonic_ns,interval_end_monotonic_ns,command_send_monotonic_ns,command_send_wall_ns,command_ack_monotonic_ns,command_ack_wall_ns,command_latency_ms,command_timing_status,achieved_pusch_snr_count,achieved_pusch_snr_median_db,achieved_pusch_snr_p05_db,achieved_pusch_snr_p95_db,target_minus_achieved_error_db,mcs_median,application_sequence,application_message_count,application_send_ok_count,application_acked_count,application_delivery_ack_result,application_ack_latency_ms,application_ack_latencies_ms,ue_pdu_session_status
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,54,20.003856,-10.25,1665100884467951,1665100984467951,1665100884580312,1787450455821035594,1665100884640328,1787450455821095547,0.060016,ON_TIME,6,20.5,19.625,20.5,-0.49614400000000103,26.0,145,1,1,1,ACKED,17.6978,17.697800,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,55,22.906231,-11.5,1665100984467951,1665101084467951,1665100984588759,1787450455921044078,1665100984647040,1787450455921102264,0.058281,ON_TIME,6,22.5,21.625,23.0,0.40623099999999823,26.0,146,1,1,1,ACKED,18.5541,18.554100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,56,21.833389,-11.0,1665101084467951,1665101184467951,1665101084580078,1787450456021035347,1665101084632398,1787450456021087608,0.05232,ON_TIME,8,22.0,21.0,22.0,-0.16661099999999962,26.0,147,1,1,1,ACKED,19.3415,19.341500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,57,21.591604,-11.0,1665101184467951,1665101284467951,1665101184633622,1787450456121088885,1665101184691908,1787450456121147125,0.058286,ON_TIME,6,21.5,21.125,22.0,0.09160400000000024,26.0,148,1,1,1,ACKED,23.7274,23.727400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,58,21.616137,-11.0,1665101284467951,1665101384467951,1665101284594878,1787450456221050220,1665101284683804,1787450456221139013,0.088926,ON_TIME,9,22.0,21.0,22.0,-0.3838630000000016,26.0,149,1,1,1,ACKED,21.9203,21.920300,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,59,20.37353,-10.5,1665101384467951,1665101484467951,1665101384602023,1787450456321057352,1665101384895798,1787450456321351082,0.293775,ON_TIME,7,21.0,20.3,21.7,-0.6264700000000012,26.0,150,1,1,1,ACKED,22.4981,22.498100,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,60,21.643662,-11.0,1665101484467951,1665101584467951,1665101484643454,1787450456421098766,1665101484706040,1787450456421161258,0.062586,ON_TIME,6,21.5,20.25,21.875,0.14366199999999907,26.0,151,1,1,1,ACKED,24.7845,24.784500,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,61,21.17977,-10.75,1665101584467951,1665101684467951,1665101586837521,1787450456523292730,1665101586916641,1787450456523371830,0.07912,ON_TIME,8,21.5,20.674999999999997,21.5,-0.3202299999999987,26.0,152,1,1,1,ACKED,18.1956,18.195600,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,62,22.119777,-11.25,1665101684467951,1665101784467951,1665101684640156,1787450456621095588,1665101684743247,1787450456621198585,0.103091,ON_TIME,8,22.25,21.5,22.5,-0.13022300000000087,26.0,153,1,1,1,ACKED,18.3127,18.312700,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,63,22.880999,-11.5,1665101784467951,1665101884467951,1665101784596178,1787450456721051513,1665101784672061,1787450456721127265,0.075883,ON_TIME,8,22.5,22.0,23.0,0.3809989999999992,26.0,154,1,1,1,ACKED,20.2834,20.283400,ATTACHED_CURRENT_RNTI_PDU_ACTIVE
