purpose,rfsim_command,commanded_noise_power_db,send_monotonic_ns,send_wall_ns,ack_monotonic_ns,ack_wall_ns,command_latency_ms,status,control_session_id,ran_epoch_id,upper_anchor_attempt,profile_id,trace_id,trace_step_index,scheduled_monotonic_ns,interval_end_monotonic_ns
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.5,-10.5,1665100284606202,1787450455221061529,1665100284712530,1787450455221167744,0.106328,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,48,1665100284467951,1665100384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665100384583612,1787450455321038928,1665100384667281,1787450455321122488,0.083669,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,49,1665100384467951,1665100484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.5,-10.5,1665100484602787,1787450455421058106,1665100484671303,1787450455421126500,0.068516,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,50,1665100484467951,1665100584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665100585011961,1787450455521467605,1665100585163385,1787450455521618690,0.151424,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,51,1665100584467951,1665100684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665100684632123,1787450455621087649,1665100684711154,1787450455621166349,0.079031,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,52,1665100684467951,1665100784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.5,-10.5,1665100784711306,1787450455721166575,1665100784769542,1787450455721224743,0.058236,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,53,1665100784467951,1665100884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.25,-10.25,1665100884580312,1787450455821035594,1665100884640328,1787450455821095547,0.060016,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,54,1665100884467951,1665100984467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665100984588759,1787450455921044078,1665100984647040,1787450455921102264,0.058281,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,55,1665100984467951,1665101084467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665101084580078,1787450456021035347,1665101084632398,1787450456021087608,0.05232,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,56,1665101084467951,1665101184467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665101184633622,1787450456121088885,1665101184691908,1787450456121147125,0.058286,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,57,1665101184467951,1665101284467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665101284594878,1787450456221050220,1665101284683804,1787450456221139013,0.088926,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,58,1665101284467951,1665101384467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.5,-10.5,1665101384602023,1787450456321057352,1665101384895798,1787450456321351082,0.293775,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,59,1665101384467951,1665101484467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.0,-11.0,1665101484643454,1787450456421098766,1665101484706040,1787450456421161258,0.062586,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,60,1665101484467951,1665101584467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.75,-10.75,1665101586837521,1787450456523292730,1665101586916641,1787450456523371830,0.07912,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,61,1665101584467951,1665101684467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.25,-11.25,1665101684640156,1787450456621095588,1665101684743247,1787450456621198585,0.103091,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,62,1665101684467951,1665101784467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -11.5,-11.5,1665101784596178,1787450456721051513,1665101784672061,1787450456721127265,0.075883,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,63,1665101784467951,1665101884467951
TARGET_SNR_REPLAY,channelmod modify 2 noise_power_dB -10.5,-10.5,1665101884613664,1787450456821069271,1665101884674723,1787450456821129948,0.061059,ACK_VALIDATED,f24e66ab-e422-47ff-8afd-1a1a25380282,d4058ffd-288b-4fe7-8566-831fa79f17dc,,FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,64,1665101884467951,1665101984467951
