block,family,valid,n,mu_mbps,effective_mu_mbps,demand,payload_bytes,onwire_bytes,allocation_envelope,allocation_efficiency,generated_demands,candidate_cell,allocation_aggregate_demand_mbps,allocation_aggregate_local_mbps,allocation_aggregate_central_mbps,allocation_worst_local_delivery_fraction,allocation_worst_central_delivery_fraction,allocation_central_throttles_any_below_local,local_goodput_mbps,central_goodput_mbps,local_worst_latency_p95_ms,central_worst_latency_p95_ms,local_worst_starvation_ms,central_worst_starvation_ms,deadline_lift_0.25_pp,deadline_lift_0.50_pp,latency_reduction_ms,starvation_reduction_ms,registered_meaningful_gap,pareto_safe
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,409600,409852,ideal_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.2173950236059716,4.09172138318234,11135.97890796514,7404.508948551759,103275.43818431934,380000.0,0.0,0.0,3731.469959413381,-276724.56181568064,True,False
A,constant_ceiling,True,50,6.077408,6.077408,hot20_traffic80,409600,409852,measured_residual_max_min,1.0,1600,False,6.685148799999986,2.1878668800000027,4.2541856,0.15909090909090903,0.5454545454545452,False,2.2173950236059716,4.09172138318234,11135.97890796514,7404.508948551759,103275.43818431934,380000.0,0.0,0.0,3731.469959413381,-276724.56181568064,True,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,92160,92232,ideal_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.9457540106951874,3.2355182887700535,10022.982679458086,4721.409653589163,10720.482679458086,37400.0,0.0,0.0,5301.573025868923,-26679.517320541912,False,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,92160,92232,measured_residual_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.9457540106951874,3.2355182887700535,10022.982679458086,4721.409653589163,10720.482679458086,37400.0,0.0,0.0,5301.573025868923,-26679.517320541912,False,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,132301,132409,ideal_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.948823858341099,3.711894426840633,14322.333692258278,6811.796673845166,15414.833692258277,53650.00000000001,0.0,0.0,7510.5370184131125,-38235.16630774173,False,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,132301,132409,measured_residual_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.948823858341099,3.711894426840633,14322.333692258278,6811.796673845166,15414.833692258277,53650.00000000001,0.0,0.0,7510.5370184131125,-38235.16630774173,False,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,409600,409852,ideal_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.94919120746763,3.593763998795543,44332.947427587555,20824.50894855175,47725.447427587555,166050.0,0.0,0.0,23508.438479035805,-118324.55257241245,False,False
A,constant_ceiling,True,50,6.077408,6.077408,synchronized_burst,409600,409852,measured_residual_max_min,1.0,400,False,7.900630399999998,4.254185599999999,4.254185599999999,0.5384615384615383,0.5384615384615383,False,3.94919120746763,3.593763998795543,44332.947427587555,20824.50894855175,47725.447427587555,166050.0,0.0,0.0,23508.438479035805,-118324.55257241245,False,False
A,constant_ceiling,True,100,6.077408,6.077408,equal,92160,92232,ideal_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297540895184136,3.6871897563739378,9702.472105638362,11121.409653589168,17350.000000000065,52600.0,0.0,0.0,-1418.9375479508053,-35249.999999999935,False,False
A,constant_ceiling,True,100,6.077408,6.077408,equal,92160,92232,measured_residual_max_min,1.0,800,False,6.685148800000012,4.254185600000005,4.254185600000005,0.6363636363636361,0.6363636363636361,False,4.297540895184136,3.6871897563739378,9702.472105638362,11121.409653589168,17350.000000000065,52600.0,0.0,0.0,-1418.9375479508053,-35249.999999999935,False,False
