plateau_index,commanded_noise_power_db,event_time_text,event_wall_ns_approx,rnti,frame,slot,instantaneous_pusch_snr_db,mcs,join_status
0,-10,11:25:12.162089,1787336712162089216,54415,256,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.181176,1787336712181176064,54415,258,17,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.184831,1787336712184830976,54415,259,7,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.188889,1787336712188889088,54415,259,17,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.189292,1787336712189292032,54415,259,18,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.189759,1787336712189758976,54415,259,19,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.192932,1787336712192931840,54415,260,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.193298,1787336712193298176,54415,260,8,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.193665,1787336712193665024,54415,260,9,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.196815,1787336712196815104,54415,260,17,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.197201,1787336712197200896,54415,260,18,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.271651,1787336712271651072,54415,270,8,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.279247,1787336712279247104,54415,271,7,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.279659,1787336712279659008,54415,271,8,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.280017,1787336712280016896,54415,271,9,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.283167,1787336712283166976,54415,271,17,19.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.283564,1787336712283564032,54415,271,18,19.5,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.284052,1787336712284051968,54415,271,19,20.0,25,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.286910,1787336712286909952,54415,272,7,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.287501,1787336712287501056,54415,272,8,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.287855,1787336712287854848,54415,272,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.366137,1787336712366137088,54415,282,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.381596,1787336712381596160,54415,284,7,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.385392,1787336712385391872,54415,284,17,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.389468,1787336712389467904,54415,285,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.389888,1787336712389888000,54415,285,8,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.390218,1787336712390217984,54415,285,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.393395,1787336712393394944,54415,285,17,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.393697,1787336712393697024,54415,285,18,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.394170,1787336712394170112,54415,285,19,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.397294,1787336712397294080,54415,286,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.397705,1787336712397704960,54415,286,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.398383,1787336712398382848,54415,286,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.475965,1787336712475964928,54415,296,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.479360,1787336712479360000,54415,296,17,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.483719,1787336712483719168,54415,297,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.484046,1787336712484046080,54415,297,8,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.484413,1787336712484412928,54415,297,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.487617,1787336712487617024,54415,297,17,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.487898,1787336712487898112,54415,297,18,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.488452,1787336712488451840,54415,297,19,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.491405,1787336712491405056,54415,298,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.491858,1787336712491857920,54415,298,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.492325,1787336712492325120,54415,298,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.570419,1787336712570419200,54415,308,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.578004,1787336712578003968,54415,309,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.578328,1787336712578327808,54415,309,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.578710,1787336712578710016,54415,309,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.581758,1787336712581757952,54415,309,17,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.582187,1787336712582187008,54415,309,18,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.582671,1787336712582670848,54415,309,19,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.585638,1787336712585638144,54415,310,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.586110,1787336712586110208,54415,310,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.586530,1787336712586530048,54415,310,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.665093,1787336712665092864,54415,320,8,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.679883,1787336712679883008,54415,322,7,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.684069,1787336712684068864,54415,322,17,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.687839,1787336712687838976,54415,323,7,19.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.688167,1787336712688167168,54415,323,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.688516,1787336712688515840,54415,323,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.691545,1787336712691545088,54415,323,17,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.691998,1787336712691997952,54415,323,18,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.692521,1787336712692521216,54415,323,19,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.695387,1787336712695386880,54415,324,7,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.695837,1787336712695836928,54415,324,8,19.5,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:12.696260,1787336712696260096,54415,324,9,20.0,24,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
