seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
452,2048,192.168.70.134,1787375530801928903,1590175865472367
453,2048,192.168.70.134,1787375530893532913,1590175957076622
454,2048,192.168.70.134,1787375531020317268,1590176083861504
455,2048,192.168.70.134,1787375531091358359,1590176154902505
456,2048,192.168.70.134,1787375531248773894,1590176312317654
457,2048,192.168.70.134,1787375531300629710,1590176364173285
458,2048,192.168.70.134,1787375531422151419,1590176485695387
459,2048,192.168.70.134,1787375531533839155,1590176597382960
460,2048,192.168.70.134,1787375531612955394,1590176676499719
461,2048,192.168.70.134,1787375531691357245,1590176754901353
462,2048,192.168.70.134,1787375531836090434,1590176899633969
463,2048,192.168.70.134,1787375531913596293,1590176977140147
464,2048,192.168.70.134,1787375532027865332,1590177091409591
465,2048,192.168.70.134,1787375532102982524,1590177166526777
466,2048,192.168.70.134,1787375532248278397,1590177311822633
467,2048,192.168.70.134,1787375532323415943,1590177386959373
468,2048,192.168.70.134,1787375532399320999,1590177462865109
469,2048,192.168.70.134,1787375532504420557,1590177567964689
470,2048,192.168.70.134,1787375532632974658,1590177696519005
471,2048,192.168.70.134,1787375532744788217,1590177808332528
472,2048,192.168.70.134,1787375532810370114,1590177873914442
473,2048,192.168.70.134,1787375532954942443,1590178018486747
474,2048,192.168.70.134,1787375533019271012,1590178082815393
475,2048,192.168.70.134,1787375533091389779,1590178154934262
476,2048,192.168.70.134,1787375533186411537,1590178249955988
477,2048,192.168.70.134,1787375533334507757,1590178398051996
478,2048,192.168.70.134,1787375533405482438,1590178469026430
479,2048,192.168.70.134,1787375533542201101,1590178605744978
480,2048,192.168.70.134,1787375533613570334,1590178677114475
481,2048,192.168.70.134,1787375533685620086,1590178749164032
482,2048,192.168.70.134,1787375533847330983,1590178910875179
483,2048,192.168.70.134,1787375533919494498,1590178983038473
484,2048,192.168.70.134,1787375534036434834,1590179099979039
485,2048,192.168.70.134,1787375534107067746,1590179170611362
486,2048,192.168.70.134,1787375534245154686,1590179308698567
487,2048,192.168.70.134,1787375534316413984,1590179379958171
488,2048,192.168.70.134,1787375534389306380,1590179452850721
489,2048,192.168.70.134,1787375534524012702,1590179587556826
490,2048,192.168.70.134,1787375534595298569,1590179658842919
491,2048,192.168.70.134,1787375534732959186,1590179796503336
492,2048,192.168.70.134,1787375534804499568,1590179868043793
