1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367989872992339,1582634936537289,20:06:29.872359,13,115,12,115,18,503,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989872993776,1582634936538700,20:06:29.872707,13,115,13,115,19,503,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367989937046956,1582635000593206,20:06:29.936421,13,125,2,125,8,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367989964687045,1582635028232643,20:06:29.963640,13,129,1,129,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989967858641,1582635031403839,20:06:29.966976,13,129,11,129,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989971243027,1582635034788810,20:06:29.970659,13,130,1,130,7,503,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989972279998,1582635035824972,20:06:29.971099,13,130,2,130,8,503,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989972283494,1582635035828414,20:06:29.971427,13,130,3,130,9,503,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989974418184,1582635037963389,20:06:29.973979,13,130,11,130,17,503,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989976070992,1582635039616462,20:06:29.974542,13,130,12,130,18,503,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989976093337,1582635039638389,20:06:29.974876,13,130,13,130,19,503,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990039453553,1582635103007289,20:06:30.038670,13,140,2,140,8,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990065760173,1582635129306264,20:06:30.065221,13,144,1,144,7,503,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990068954576,1582635132499564,20:06:30.068450,13,144,11,144,17,503,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990073529054,1582635137074808,20:06:30.071946,13,145,1,145,7,503,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990073551681,1582635137096864,20:06:30.072594,13,145,2,145,8,503,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990074201640,1582635137746862,20:06:30.072943,13,145,3,145,9,503,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990076362250,1582635139907791,20:06:30.075465,13,145,11,145,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990076380660,1582635139925767,20:06:30.075762,13,145,12,145,18,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990077281025,1582635140826171,20:06:30.076102,13,145,13,145,19,504,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367990159264113,1582635222809508,20:06:30.158783,13,155,2,155,8,503,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990165724272,1582635229269433,20:06:30.164991,13,156,1,156,7,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990165740498,1582635229285433,20:06:30.165274,13,156,2,156,8,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990166654686,1582635230199646,20:06:30.165657,13,156,3,156,9,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990168744482,1582635232289697,20:06:30.168100,13,156,11,156,17,504,0,28,28,28,28,28,20516,20622,0,5,5,5,48,20,5,106,-1
1787367990231220934,1582635294766672,20:06:30.230501,13,166,2,166,8,504,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990267283921,1582635330829138,20:06:30.266255,13,171,11,171,17,504,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990270430686,1582635333975858,20:06:30.269481,13,172,1,172,7,504,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990273822305,1582635337367327,20:06:30.272804,13,172,11,172,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
