scope,fixed_factor,fixed_value,compared_factor,item_a,item_b,metric,q0,q1,delta_at_q0,delta_at_q1,interval_role
within_family_quantizer,family,ae128,quantizer,uint6,uint4,ped_precision,0.7,0.9,-0.0053118432592542675,0.0021816963091627617,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,ped_precision,0.9,0.98,0.0021816963091627617,-0.003247319728510445,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,ped_recall,0.3,0.5,-0.004250797024442088,0.0031880977683315104,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,ped_recall,0.9,0.98,0.006376195536663132,-0.005313496280552554,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,fp_per_frame,0.9,0.98,0.006797583081570968,-0.007552870090634434,extrapolation_reference
within_family_quantizer,family,ae128,quantizer,uint6,uint4,xy_mae_m,0.3,0.5,-0.012743983076799137,0.0021381594563619766,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,xy_mae_m,0.5,0.7,0.0021381594563619766,-0.003492484017552866,in_distribution
within_family_quantizer,family,ae128,quantizer,uint6,uint4,miou,0.7,0.9,0.11423458255217389,-0.015416911814768008,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,noae,ae32,ped_recall,0.7,0.9,-0.012752391073326264,0.0010626992561105775,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,noae,ae32,ped_recall,0.9,0.98,0.0010626992561105775,-0.0031880977683316214,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,noae,ae32,miou,0.7,0.9,0.0003852541183270164,-0.04439936020005364,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,noae,ae64,ped_precision,0.0,0.3,0.0008161275470131013,-0.002005858917837555,in_distribution
within_quantizer_family,quantizer,uint8,family,noae,ae64,ped_precision,0.7,0.9,-0.00447109392269307,0.0058032277095062534,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,noae,ae64,miou,0.0,0.3,0.014462849023522018,-0.00203098523008971,in_distribution
within_quantizer_family,quantizer,uint8,family,noae,ae128,ped_precision,0.3,0.5,-0.0024357964504431173,0.013156405849303221,in_distribution
within_quantizer_family,quantizer,uint8,family,ae32,ae64,veh_precision,0.0,0.3,-0.00170003298571475,0.0010958638888103334,in_distribution
within_quantizer_family,quantizer,uint8,family,ae32,ae64,veh_precision,0.3,0.5,0.0010958638888103334,-0.010102810846382482,in_distribution
within_quantizer_family,quantizer,uint8,family,ae32,ae64,veh_precision,0.7,0.9,-0.004896896456082489,0.0016488702885229523,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae64,veh_precision,0.9,0.98,0.0016488702885229523,-0.005128163600241875,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae64,veh_recall,0.9,0.98,0.0066577896138482195,-0.007989347536617841,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae64,xy_mae_m,0.3,0.5,0.013230419779556524,-0.014902058145924824,in_distribution
within_quantizer_family,quantizer,uint8,family,ae32,ae64,xy_mae_m,0.7,0.9,-0.010209745024812644,0.01715805654284941,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae64,xy_mae_m,0.9,0.98,0.01715805654284941,-0.002827322191548909,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae128,veh_recall,0.3,0.5,0.0013315579227696217,-0.001997336884154488,in_distribution
within_quantizer_family,quantizer,uint8,family,ae32,ae128,veh_recall,0.7,0.9,-0.001997336884154488,0.005992010652463464,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae32,ae128,ped_precision,0.7,0.9,-0.0015340947909097125,0.014387493986946387,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae64,ae128,veh_recall,0.9,0.98,-0.0006657789613847553,0.041944074567243694,extrapolation_reference
within_quantizer_family,quantizer,uint8,family,ae64,ae128,ped_precision,0.3,0.5,-0.0004299375326055621,0.01733236991047915,in_distribution
within_quantizer_family,quantizer,uint8,family,ae64,ae128,ped_recall,0.9,0.98,-0.02763018065887346,0.0031880977683316214,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,noae,ae32,ped_precision,0.3,0.5,-0.001618579824399391,0.0199147735982097,in_distribution
within_quantizer_family,quantizer,uint6,family,noae,ae32,miou,0.7,0.9,0.006157680589361836,-0.029240097090169725,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,noae,ae64,ped_precision,0.7,0.9,-0.004771297313492462,0.002144887024219111,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,noae,ae64,ped_precision,0.9,0.98,0.002144887024219111,-0.0020485377783797665,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,noae,ae64,miou,0.3,0.5,0.003922940899203087,-0.005284104565295822,in_distribution
within_quantizer_family,quantizer,uint6,family,noae,ae128,ped_precision,0.3,0.5,-0.006017044334741373,0.01531303786574878,in_distribution
within_quantizer_family,quantizer,uint6,family,ae32,ae64,veh_precision,0.7,0.9,-0.00217172782005165,0.0010922651269096861,extrapolation_reference
