run_label,run_group,window_s,elapsed_s,rows,old_mcs_p50,new_mcs_p50,new_mcs_p95,updated_rows,num_sched_p50,num_sched_p95,bler_after_p50,increase_rows,few_sample_rows,high_bler_rows,hold_rows
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,121,121.7406755,562,4.0,4.0,8.0,54,1.0,60.0,0.0,10,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,122,122.57782900000001,545,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,123,123.40988750000001,536,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,124,124.25393600000001,547,4.0,4.0,8.0,49,1.0,60.0,0.0,10,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,125,125.67418699999999,983,4.0,4.0,8.0,48,1.0,60.0,0.0,16,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,126,126.736771,531,4.0,4.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,127,127.57618500000001,538,4.0,4.0,8.0,55,1.0,60.0,0.0,9,46,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,128,128.402548,563,4.0,4.0,8.0,54,1.0,60.0,0.0,9,45,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,129,129.248338,572,4.0,4.0,8.0,52,1.0,60.0,0.0,10,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,130,130.752459,996,4.0,4.0,8.0,52,1.0,60.0,0.0,16,36,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,131,131.748683,517,4.0,4.0,8.0,49,1.0,60.0,0.0,10,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,132,132.580291,553,4.0,4.0,8.0,42,1.0,60.0,0.0,9,33,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,0,0.32152150000000024,1694,15.0,15.0,20.0,46,55.5,60.0,0.0,33,13,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,1,1.4966879999999998,1008,21.0,21.0,22.0,47,6.0,60.0,0.0,24,23,0,0
