profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status,candidate_tier,measurement_authorized,candidate_network_status
ae32__u8__q0__zstd3__ckpt10cebbeede4d,ae32/u8/q0,mid,235560.85,4,235704.85,10.0,18.844868,18.856388,UNKNOWN_NOT_ESTIMATED,19.711695,0.95660916,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,mid,265042.0,5,265222.0,10.0,21.20336,21.21776,UNKNOWN_NOT_ESTIMATED,19.711695,1.07640464,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,mid,268254.95,5,268434.95,10.0,21.460396,21.474796,UNKNOWN_NOT_ESTIMATED,19.711695,1.08944441,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0__zstd3__ckptc6a2362c7c2d,ae64/u8/q0,mid,279947.95,5,280127.95,10.0,22.395836,22.410236,UNKNOWN_NOT_ESTIMATED,19.711695,1.13690051,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,mid,350948.6,6,351164.6,10.0,28.075888,28.093168,UNKNOWN_NOT_ESTIMATED,19.711695,1.42520306,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,ae32/u4/q0.9,mild,20277.35,1,20313.35,10.0,1.622188,1.625068,UNKNOWN_NOT_ESTIMATED,27.778469,0.05850099,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,DEGRADED_RESCUE,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.7,mild,50707.5,1,50743.5,10.0,4.0566,4.05948,UNKNOWN_NOT_ESTIMATED,27.778469,0.14613764,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32/u4/q0.5,mild,53124.35,1,53160.35,10.0,4.249948,4.252828,UNKNOWN_NOT_ESTIMATED,27.778469,0.153098,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,mild,67666.95,2,67738.95,10.0,5.413356,5.419116,UNKNOWN_NOT_ESTIMATED,27.778469,0.19508332,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.5,mild,68073.1,2,68145.1,10.0,5.445848,5.451608,UNKNOWN_NOT_ESTIMATED,27.778469,0.196253,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u4__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.3,mild,81274.35,2,81346.35,10.0,6.501948,6.507708,UNKNOWN_NOT_ESTIMATED,27.778469,0.23427166,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u8__q0.7__zstd3__ckpt10cebbeede4d,ae32/u8/q0.7,mild,85995.4,2,86067.4,10.0,6.879632,6.885392,UNKNOWN_NOT_ESTIMATED,27.778469,0.24786794,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
