seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
177,1665104160784520,1787450459097240176,1,1,1665104184758955,1,23.9744
178,1665104260785077,1787450459197240566,1,1,1665104284784131,1,23.9991
179,1665104360796209,1787450459297252255,1,1,1665104384701821,1,23.9056
180,1665104460785785,1787450459397241441,1,1,1665104484862935,1,24.0771
181,1665104560786111,1787450459497241574,1,1,1665104585930122,1,25.1440
182,1665104660740281,1787450459597195592,1,1,1665104739605868,1,78.8656
183,1665104760779338,1787450459697234708,1,1,1665104791761392,1,30.9821
184,1665104860776929,1787450459797232332,1,1,1665104885516225,1,24.7393
185,1665104960787956,1787450459897243748,1,1,1665104983008653,1,22.2207
186,1665105060777959,1787450459997233822,1,1,1665105087850341,1,27.0724
187,1665105160781567,1787450460097237154,1,1,1665105185602980,1,24.8214
188,1665105260893952,1787450460197349544,1,1,1665105287025561,1,26.1316
189,1665105360952685,1787450460297408269,1,1,1665105388675740,1,27.7231
190,1665105460812965,1787450460397269215,1,1,1665105485686397,1,24.8734
191,1665105560886663,1787450460497342085,1,1,1665105583223262,1,22.3366
192,1665105660804261,1787450460597259689,1,1,1665105684534254,1,23.7300
193,1665105760781782,1787450460697237132,1,1,1665105784061554,1,23.2798
194,1665105860784844,1787450460797240472,1,1,1665105875344877,1,14.5600
195,1665105960914260,1787450460897369992,1,1,1665105981451495,1,20.5372
196,1665106060901209,1787450460997356787,1,1,1665106081980791,1,21.0796
197,1665106160943730,1787450461097399419,1,1,1665106172606196,1,11.6625
198,1665106260900113,1787450461197355836,1,1,1665106283441547,1,22.5414
199,1665106360889594,1787450461297345346,1,1,1665106380284863,1,19.3953
200,1665106460879232,1787450461397334642,1,1,1665106480868585,1,19.9894
201,1665106560957442,1787450461497413314,1,1,1665106599352098,1,38.3947
202,1665106660909810,1787450461597365640,1,1,1665106697284790,1,36.3750
203,1665106760793309,1787450461697249235,1,1,1665106828747369,1,67.9541
204,1665106860786583,1787450461797242096,1,1,1665106898808550,1,38.0220
205,1665106960785189,1787450461897240960,1,1,1665107000679794,1,39.8946
206,1665107060783770,1787450461997239511,1,1,1665107100608309,1,39.8245
207,1665107160782889,1787450462097238541,1,1,1665107196283367,1,35.5005
208,1665107260846145,1787450462197302117,1,1,1665107308385548,1,47.5394
209,1665107360783070,1787450462297238723,1,1,1665107421892239,1,61.1092
210,1665107460782589,1787450462397238195,1,1,1665107498291653,1,37.5091
211,1665107560792631,1787450462497248396,1,1,1665107583495382,1,22.7028
212,1665107660790332,1787450462597246016,1,1,1665107679538852,1,18.7485
213,1665107760779376,1787450462697235005,1,1,1665107776958679,1,16.1793
214,1665107860776098,1787450462797231602,1,1,1665107882119190,1,21.3431
215,1665107960784561,1787450462897240514,1,1,1665107986898806,1,26.1142
216,1665108060778002,1787450462997233779,1,1,1665108080984056,1,20.2061
217,1665108160774930,1787450463097230522,1,1,1665108181057926,1,20.2830
218,1665108260891884,1787450463197347384,1,1,1665108280024141,1,19.1323
219,1665108360779662,1787450463297235328,1,1,1665108378265481,1,17.4858
220,1665108460777269,1787450463397232673,1,1,1665108476223622,1,15.4464
221,1665108560895737,1787450463497351425,1,1,1665108579275755,1,18.3800
222,1665108660780316,1787450463597236044,1,1,1665108678173477,1,17.3932
223,1665108760886792,1787450463697342472,1,1,1665108853863440,1,92.9766
224,1665108860787462,1787450463797242894,1,1,1665108878862278,1,18.0748
225,1665108960777331,1787450463897233091,1,1,1665108982130485,1,21.3532
226,1665109060776533,1787450463997232429,1,1,1665109077129094,1,16.3526
227,1665109160776565,1787450464097232424,1,1,1665109174441629,1,13.6651
228,1665109260941979,1787450464197397607,1,1,1665109285596453,1,24.6545
229,1665109360880501,1787450464297336282,1,1,1665109383367704,1,22.4872
230,1665109460775800,1787450464397231400,1,1,1665109481234759,1,20.4590
231,1665109560777166,1787450464497232839,1,1,1665109579551387,1,18.7742
232,1665109660775720,1787450464597231262,1,1,1665109679891084,1,19.1154
233,1665109760776098,1787450464697231616,1,1,1665109807109564,1,46.3335
234,1665109860782353,1787450464797237779,1,1,1665109874131665,1,13.3493
235,1665109960777043,1787450464897232742,1,1,1665109984310368,1,23.5333
236,1665110060777669,1787450464997233888,1,1,1665110085135780,1,24.3581
237,1665110160776351,1787450465097231868,1,1,1665110178630378,1,17.8540
238,1665110260777542,1787450465197232986,1,1,1665110291256763,1,30.4792
239,1665110360776871,1787450465297232424,1,1,1665110384830969,1,24.0541
240,1665110460776945,1787450465397232356,1,1,1665110484825568,1,24.0486
241,1665110560776463,1787450465497231881,1,1,1665110582956250,1,22.1798
242,1665110660777845,1787450465597233356,1,1,1665110684679649,1,23.9018
243,1665110760775566,1787450465697231089,1,1,1665110870450875,1,109.6753
244,1665110860775097,1787450465797230644,1,1,1665110893856737,1,33.0816
245,1665110960776819,1787450465897232445,1,1,1665110985818481,1,25.0417
246,1665111060777424,1787450465997232926,1,1,1665111084484451,1,23.7070
247,1665111160776158,1787450466097231986,1,1,1665111178207668,1,17.4315
248,1665111260776504,1787450466197231927,1,1,1665111279582607,1,18.8061
249,1665111360780541,1787450466297236271,1,1,1665111380925640,1,20.1451
250,1665111460776210,1787450466397231636,1,1,1665111499988530,1,39.2123
251,1665111560778838,1787450466497234270,1,1,1665111598136827,1,37.3580
252,1665111660778291,1787450466597234193,1,1,1665111691020387,1,30.2421
253,1665111760779467,1787450466697234972,1,1,1665111793894545,1,33.1151
254,1665111860804843,1787450466797260908,1,1,1665111916158934,1,55.3541
255,1665111960854667,1787450466897310201,1,1,1665111977435208,1,16.5805
256,1665112060786094,1787450466997241565,1,1,1665112085731863,1,24.9458
257,1665112160786109,1787450467097241623,1,1,1665112185422608,1,24.6365
258,1665112260789592,1787450467197245348,1,1,1665112285651581,1,24.8620
259,1665112360782626,1787450467297238402,1,1,1665112384429408,1,23.6468
260,1665112460802732,1787450467397258072,1,1,1665112482395747,1,21.5930
261,1665112560784775,1787450467497240512,1,1,1665112582741154,1,21.9564
262,1665112660785803,1787450467597241247,1,1,1665112682974906,1,22.1891
263,1665112760777484,1787450467697233242,1,1,1665112780709077,1,19.9316
264,1665112860776472,1787450467797231954,1,1,1665112879138530,1,18.3621
265,1665112960775321,1787450467897230771,1,1,1665112978091540,1,17.3162
266,1665113060777776,1787450467997233487,1,1,1665113078429196,1,17.6514
267,1665113160780594,1787450468097236602,1,1,1665113174847010,1,14.0664
268,1665113260776333,1787450468197231849,1,1,1665113281974891,1,21.1986
269,1665113360776977,1787450468297232374,1,1,1665113374912858,1,14.1359
270,1665113460776406,1787450468397231845,1,1,1665113483805534,1,23.0291
271,1665113560775729,1787450468497231235,1,1,1665113573019219,1,12.2435
272,1665113660776742,1787450468597232241,1,1,1665113684565772,1,23.7890
273,1665113760776462,1787450468697232090,1,1,1665113777838783,1,17.0623
274,1665113860782284,1787450468797237935,1,1,1665113882998982,1,22.2167
275,1665113960777019,1787450468897232507,1,1,1665114020201619,1,59.4246
276,1665114060868002,1787450468997323755,1,1,1665114102377713,1,41.5097
277,1665114160776520,1787450469097232279,1,1,1665114183314992,1,22.5385
278,1665114260776211,1787450469197231675,1,1,1665114275942890,1,15.1667
279,1665114360775977,1787450469297231619,1,1,1665114374488757,1,13.7128
280,1665114460775468,1787450469397230984,1,1,1665114486125083,1,25.3496
281,1665114560780985,1787450469497236483,1,1,1665114582781796,1,22.0008
282,1665114660787438,1787450469597243014,1,1,1665114682113384,1,21.3259
283,1665114760783633,1787450469697239336,1,1,1665114782123736,1,21.3401
284,1665114860943341,1787450469797399236,1,1,1665114879949635,1,19.0063
285,1665114961067837,1787450469897523498,1,1,1665114980611055,1,19.5432
286,1665115060776143,1787450469997231634,1,1,1665115142546464,1,81.7703
287,1665115160777626,1787450470097233427,1,1,1665115198278092,1,37.5005
288,1665115260932221,1787450470197388253,1,1,1665115294748090,1,33.8159
289,1665115360864066,1787450470297319853,1,1,1665115389578309,1,28.7142
290,1665115460868494,1787450470397324112,1,1,1665115485567262,1,24.6988
291,1665115560775875,1787450470497231568,1,1,1665115580919337,1,20.1435
292,1665115660777244,1787450470597232742,1,1,1665115680551349,1,19.7741
293,1665115760775565,1787450470697231094,1,1,1665115779122720,1,18.3472
294,1665115860776041,1787450470797231670,1,1,1665115876344914,1,15.5689
295,1665115960781797,1787450470897237894,1,1,1665115973879231,1,13.0974
296,1665116060781682,1787450470997237403,1,1,1665116104771268,1,43.9896
297,1665116160786174,1787450471097241612,1,1,1665116183804094,1,23.0179
298,1665116260788068,1787450471197243647,1,1,1665116278393365,1,17.6053
299,1665116360786483,1787450471297242130,1,1,1665116392451457,1,31.6650
300,1665116460782674,1787450471397238250,1,1,1665116483520370,1,22.7377
301,1665116560777940,1787450471497233698,1,1,1665116573951753,1,13.1738
302,1665116660777367,1787450471597232864,1,1,1665116682732984,1,21.9556
303,1665116760778721,1787450471697234380,1,1,1665116782979264,1,22.2005
304,1665116860785722,1787450471797241450,1,1,1665116881985254,1,21.1995
305,1665116960783345,1787450471897239082,1,1,1665116983617923,1,22.8346
306,1665117060788367,1787450471997243820,1,1,1665117134860458,1,74.0721
307,1665117160776007,1787450472097231419,1,1,1665117182847289,1,22.0713
308,1665117260782800,1787450472197238634,1,1,1665117283352215,1,22.5694
309,1665117360738067,1787450472297193708,1,1,1665117382188334,1,21.4503
310,1665117460781945,1787450472397237588,1,1,1665117483435474,1,22.6535
311,1665117560780783,1787450472497236267,1,1,1665117608388789,1,47.6080
312,1665117660778768,1787450472597234154,1,1,1665117718217577,1,57.4388
313,1665117760891484,1787450472697346992,1,1,1665117803722197,1,42.8307
314,1665117860785201,1787450472797240745,1,1,1665117889874352,1,29.0892
315,1665117960785225,1787450472897240716,1,1,1665118002627823,1,41.8426
316,1665118060902436,1787450472997358364,1,1,1665118093200689,1,32.2983
317,1665118160778042,1787450473097233892,1,1,1665118191599531,1,30.8215
318,1665118260777274,1787450473197232724,1,1,1665118284092036,1,23.3148
319,1665118360776528,1787450473297232313,1,1,1665118380440176,1,19.6636
320,1665118460776067,1787450473397231784,1,1,1665118477388389,1,16.6123
321,1665118560779313,1787450473497234803,1,1,1665118582509428,1,21.7301
322,1665118660776643,1787450473597232089,1,1,1665118680109745,1,19.3331
323,1665118760776991,1787450473697232694,1,1,1665118792475056,1,31.6981
324,1665118860776592,1787450473797232227,1,1,1665118886625022,1,25.8484
325,1665118960777231,1787450473897232841,1,1,1665118979440556,1,18.6633
326,1665119060783375,1787450473997239096,1,1,1665119077010413,1,16.2270
327,1665119160780342,1787450474097236063,1,1,1665119198066278,1,37.2859
328,1665119260785553,1787450474197241070,1,1,1665119284824760,1,24.0392
329,1665119360786525,1787450474297242534,1,1,1665119378564595,1,17.7781
330,1665119460777776,1787450474397233356,1,1,1665119476530023,1,15.7522
331,1665119560779359,1787450474497235169,1,1,1665119574939041,1,14.1597
332,1665119660776740,1787450474597232181,1,1,1665119690421220,1,29.6445
333,1665119760789418,1787450474697245243,1,1,1665119785787045,1,24.9976
334,1665119860778205,1787450474797233609,1,1,1665119884729995,1,23.9518
335,1665119960777961,1787450474897233393,1,1,1665119986454140,1,25.6762
336,1665120060783134,1787450474997238582,1,1,1665120151010269,1,90.2271
337,1665120160786550,1787450475097242341,1,1,1665120176006300,1,15.2197
338,1665120260861261,1787450475197316984,1,1,1665120284200737,1,23.3395
339,1665120360877356,1787450475297333186,1,1,1665120383056541,1,22.1792
340,1665120461074632,1787450475397530274,1,1,1665120487106507,1,26.0319
341,1665120560776920,1787450475497232816,1,1,1665120584482748,1,23.7058
342,1665120660776599,1787450475597232432,1,1,1665120684303766,1,23.5272
343,1665120760893350,1787450475697348980,1,1,1665120777549130,1,16.6558
